Asian American Media Cultures,AAS 320D,3,Upper Division,(AAS) - Asian American Studies
Documenting Difference,AAS 320F,3,Upper Division,(AAS) - Asian American Studies
"Race, Internet, and Social Media",AAS 320G,3,Upper Division,(AAS) - Asian American Studies
"Japanese Popular Culture: Anime, Manga, and the Otaku",AAS 320J,3,Upper Division,(AAS) - Asian American Studies
Theorizing the Human,AAS 320K,3,Upper Division,(AAS) - Asian American Studies
The Chinese in Diaspora,AAS 325C,3,Upper Division,(AAS) - Asian American Studies
The Chinese in the United States,AAS 325D,3,Upper Division,(AAS) - Asian American Studies
"Taiwan: Colonization, Migration, and Identity",AAS 325E,3,Upper Division,(AAS) - Asian American Studies
The Two Koreas and the United States,AAS 325F,3,Upper Division,(AAS) - Asian American Studies
History of the Southeast Asian Diaspora in the United States,AAS 325G,3,Upper Division,(AAS) - Asian American Studies
South Asian Migration to the United States,AAS 325J,3,Upper Division,(AAS) - Asian American Studies
Refugees in Twentieth-Century United States,AAS 325K,3,Upper Division,(AAS) - Asian American Studies
Global Economies: Asia and the United States,AAS 325L,3,Upper Division,(AAS) - Asian American Studies
Political Economy of Development in Postwar Korea,AAS 325M,3,Upper Division,(AAS) - Asian American Studies
Asian American Jurisprudence,AAS 325N,3,Upper Division,(AAS) - Asian American Studies
Greater China and United States Economic Relations,AAS 325O,3,Upper Division,(AAS) - Asian American Studies
Topics in Asian American Studies,AAS 381,3,Graduate,(AAS) - Asian American Studies
Racism and Antiracism,AAS 330C,3,Upper Division,(AAS) - Asian American Studies
Blacks and Asians: Race and Social Movements,AAS 330D,3,Upper Division,(AAS) - Asian American Studies
The Sociology of Race and Work,AAS 330E,3,Upper Division,(AAS) - Asian American Studies
Transnational Korea,AAS 330F,3,Upper Division,(AAS) - Asian American Studies
Urban Unrest,AAS 330G,3,Upper Division,(AAS) - Asian American Studies
Asian Diaspora on Indigenous Lands,AAS 330I,3,Upper Division,(AAS) - Asian American Studies
Asian Mobilities,AAS 330J,3,Upper Division,(AAS) - Asian American Studies
Asian Americans in the South,AAS 330K,3,Upper Division,(AAS) - Asian American Studies
Anthropology of the Himalayas,AAS 330L,3,Upper Division,(AAS) - Asian American Studies
Reproductive Justice and Race,AAS 330M,3,Upper Division,(AAS) - Asian American Studies
Migration Crisis,AAS 330N,3,Upper Division,(AAS) - Asian American Studies
Supervised Research,AAS 358Q,3,Upper Division,(AAS) - Asian American Studies
Capstone Seminar,AAS 377,3,Upper Division,(AAS) - Asian American Studies
Community Internship,AAS 378,3,Upper Division,(AAS) - Asian American Studies
Conference Course in Asian American Studies,AAS 379,3,Upper Division,(AAS) - Asian American Studies
Honors Tutorial Course,AAS 679H,6,Upper Division,(AAS) - Asian American Studies
Conference Course,AAS 391C,3,Graduate,(AAS) - Asian American Studies
Foundations of Accounting,ACC 310F,3,Lower Division,(ACC) - Accounting
Fundamentals of Financial Accounting,ACC 311 (TCCN: ACCT 2301),3,Lower Division,(ACC) - Accounting
Fundamentals of Financial Accounting: Honors,ACC 311H,3,Lower Division,(ACC) - Accounting
Fundamentals of Managerial Accounting,ACC 312 (TCCN: ACCT 2302),3,Lower Division,(ACC) - Accounting
Fundamentals of Managerial Accounting: Honors,ACC 312H,3,Lower Division,(ACC) - Accounting
Topics in Accounting,"ACC 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division,(ACC) - Accounting
Financial Accounting--Intermediate,ACC 326,3,Upper Division,(ACC) - Accounting
Financial Statement Analysis,ACC 327,3,Upper Division,(ACC) - Accounting
Managerial Accounting and Control,ACC 329,3,Upper Division,(ACC) - Accounting
Topics in Accounting,ACC 372T,3,Upper Division,(ACC) - Accounting
Topics in Foundations of Accounting,ACC 332F,3,Upper Division,(ACC) - Accounting
Healthcare Accounting,ACC 334M,3,Upper Division,(ACC) - Accounting
Accounting Careers Exploration,ACC 151,1,Upper Division,(ACC) - Accounting
Master in Professional Accounting Distinguished Speaker Lyceum,ACC 152,1,Upper Division,(ACC) - Accounting
Introduction to Taxation,ACC 355,3,Upper Division,(ACC) - Accounting
Financial Accounting Concepts and Research,ACC 356,3,Upper Division,(ACC) - Accounting
Auditing and Other Assurance Services,ACC 358C,3,Upper Division,(ACC) - Accounting
Managerial/Cost Accounting,ACC 359,3,Upper Division,(ACC) - Accounting
Auditing and Control,ACC 362,3,Upper Division,(ACC) - Accounting
Fundamentals of Taxation,ACC 364,3,Upper Division,(ACC) - Accounting
International Accounting and Transfer Pricing,ACC 366C,3,Upper Division,(ACC) - Accounting
Accounting Practicum,ACC 366P,3,Upper Division,(ACC) - Accounting
Internal Auditing Practicum,ACC 367P,3,Upper Division,(ACC) - Accounting
Independent Research in Accounting,"ACC 179C, 379C","1, 3",Upper Division,(ACC) - Accounting
MPA Distinguished Speaker Lyceum,ACC 180C,1,Graduate,(ACC) - Accounting
Advanced Topics in Financial Reporting,ACC 380D,3,Graduate,(ACC) - Accounting
Financial Statement Analysis for Executives,ACC 280J,2,Graduate,(ACC) - Accounting
Contemporary Accounting Topics,"ACC 180K, 280K, 380K","1, 2, 3",Graduate,(ACC) - Accounting
Financial Accounting,ACC 381,3,Graduate,(ACC) - Accounting
Financial Accounting Issues in Business Decisions,ACC 381M,3,Graduate,(ACC) - Accounting
Managerial Accounting and Financial Statement Analysis,ACC 381N,3,Graduate,(ACC) - Accounting
Performance Management and Control for Executives,ACC 281P,2,Graduate,(ACC) - Accounting
Topics in Accounting Information Systems,ACC 382K,3,Graduate,(ACC) - Accounting
Topics in Auditing,ACC 383K,3,Graduate,(ACC) - Accounting
Topics in Research and Planning in Federal Taxes,"ACC 184, 284, 384, 484","1, 2, 3, 4",Graduate,(ACC) - Accounting
Topics in Accounting Theory,ACC 386K,3,Graduate,(ACC) - Accounting
Topics in Profit Planning and Control,"ACC 287, 387","2, 3",Graduate,(ACC) - Accounting
Special Studies in Accounting,"ACC 191C, 291C, 391C, 691C","1, 2, 3, 6",Graduate,(ACC) - Accounting
Master in Professional Accounting Internship,"ACC 192N, 292N, 392N, 492N, 592N, 692N","1, 2, 3, 4, 5, 6",Graduate,(ACC) - Accounting
Thesis,ACC 698,6,Graduate,(ACC) - Accounting
Master's Report,ACC 398R,3,Graduate,(ACC) - Accounting
Dissertation,"ACC 399W, 699W, 999W","3, 6, 9",Graduate,(ACC) - Accounting
Conference Course,"ACF 110C, 210C, 310C, 410C","1, 2, 3, 4",Lower Division,(ACF) - Actuarial Foundations
Conference Course: Texas Department of Insurance Internship,ACF 110T,1,Lower Division,(ACF) - Actuarial Foundations
Actuarial Laboratory on Probability and Statistics,ACF 112M,1,Lower Division,(ACF) - Actuarial Foundations
Topics in Actuarial Foundations,"ACF 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division,(ACF) - Actuarial Foundations
Theory of Interest,ACF 329,3,Upper Division,(ACF) - Actuarial Foundations
Introductory Actuarial Financial Mathematics,ACF 129D,1,Upper Division,(ACF) - Actuarial Foundations
Topics in Actuarial Foundations,"ACF 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division,(ACF) - Actuarial Foundations
Advertising and Popular Culture,ADV 303,3,Lower Division,(ADV) - Advertising
Fundamentals of Advertising,ADV 305,3,Lower Division,(ADV) - Advertising
Introduction to Integrated Communication for Sports,ADV 305S,3,Lower Division,(ADV) - Advertising
Introduction to Advertising and Public Relations Research,ADV 309R,3,Lower Division,(ADV) - Advertising
Social and Ethical Issues,ADV 314,3,Lower Division,(ADV) - Advertising
History and Development of Advertising,ADV 315,3,Lower Division,(ADV) - Advertising
Creativity and American Culture,ADV 316,3,Lower Division,(ADV) - Advertising
Introduction to Integrated Brand Communication,ADV 318J,3,Lower Division,(ADV) - Advertising
Psychology of Advertising,ADV 319,3,Lower Division,(ADV) - Advertising
Topics in Advertising,"ADV 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division,(ADV) - Advertising
Integrated Communication for Nonprofit Organizations,ADV 320,3,Upper Division,(ADV) - Advertising
Leadership and Ethics,ADV 321,3,Upper Division,(ADV) - Advertising
"Health Communication: Messages, Campaigns, and the Media",ADV 322,3,Upper Division,(ADV) - Advertising
Public Communication of Science and Technology,ADV 323,3,Upper Division,(ADV) - Advertising
Communicating Sustainability,ADV 324,3,Upper Division,(ADV) - Advertising
Introduction to Advertising Creativity,ADV 325,3,Upper Division,(ADV) - Advertising
Account Planning,ADV 327,3,Upper Division,(ADV) - Advertising
Psychology of Video Game Advertising,ADV 328,3,Upper Division,(ADV) - Advertising
Topics in Advertising,"ADV 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division,(ADV) - Advertising
Strategic Science Communication,ADV 330,3,Upper Division,(ADV) - Advertising
Environmental Communication Campaigns,ADV 331,3,Upper Division,(ADV) - Advertising
Technology Marketing and Advertising,ADV 332,3,Upper Division,(ADV) - Advertising
New Media Entrepreneurialism,ADV 332C,3,Upper Division,(ADV) - Advertising
Entrepreneurialism in Communication,ADV 332D,3,Upper Division,(ADV) - Advertising
International Advertising,ADV 334,3,Upper Division,(ADV) - Advertising
Topics in Multicultural Issues in Advertising and Public Relations,ADV 336,3,Upper Division,(ADV) - Advertising
Digital Creative Portfolio,ADV 338K,3,Upper Division,(ADV) - Advertising
Copywriting,ADV 338L,3,Upper Division,(ADV) - Advertising
Digital Graphic Communication,ADV 339K,3,Upper Division,(ADV) - Advertising
Brand Storytelling,ADV 339L,3,Upper Division,(ADV) - Advertising
Research in Sports Communication and Media,ADV 341S,3,Upper Division,(ADV) - Advertising
Portfolio I,ADV 343K,3,Upper Division,(ADV) - Advertising
Advertising and Public Relations Research,ADV 344K,3,Upper Division,(ADV) - Advertising
Advertising and Public Relations Media Planning,ADV 345J,3,Upper Division,(ADV) - Advertising
Art Direction,ADV 447C,4,Upper Division,(ADV) - Advertising
The Business of Sports Media,ADV 348S,3,Upper Division,(ADV) - Advertising
Advertising Internship,"ADV 350, 650","3, 6",Upper Division,(ADV) - Advertising
Internship in Sports Media,ADV 350S,3,Upper Division,(ADV) - Advertising
Advertising Practicum,ADV 151,1,Upper Division,(ADV) - Advertising
Advertising and Public Relations Law and Ethics,ADV 353,3,Upper Division,(ADV) - Advertising
Creativity in Artificial Intelligence,ADV 361,3,Upper Division,(ADV) - Advertising
Immersive Media Lab,ADV 363,3,Upper Division,(ADV) - Advertising
Immersive Experiences,ADV 364,3,Upper Division,(ADV) - Advertising
Audience Development and Engagement,ADV 365,3,Upper Division,(ADV) - Advertising
Special Topics in Advertising,ADV 366,3,Upper Division,(ADV) - Advertising
Experimental Storytelling,ADV 367,3,Upper Division,(ADV) - Advertising
Topics in Advertising Senior Seminar,ADV 368C,3,Upper Division,(ADV) - Advertising
Portfolio II,"ADV 368K, 468K","3, 4",Upper Division,(ADV) - Advertising
Portfolio III,"ADV 368L, 468L","3, 4",Upper Division,(ADV) - Advertising
Social Media,ADV 369,3,Upper Division,(ADV) - Advertising
Integrated Communications Management,ADV 370J,3,Upper Division,(ADV) - Advertising
Integrated Communications Campaigns,ADV 373,3,Upper Division,(ADV) - Advertising
Portfolio IV,"ADV 375, 475","3, 4",Upper Division,(ADV) - Advertising
Advertising Media Topics,ADV 377,3,Upper Division,(ADV) - Advertising
Topics in Media Studies,ADV 377M,3,Upper Division,(ADV) - Advertising
Advanced Topics in Advertising,ADV 378,3,Upper Division,(ADV) - Advertising
Special Topics in Sports Media,ADV 378S,3,Upper Division,(ADV) - Advertising
Integrated Communication for Sports and Entertainment,ADV 379,3,Upper Division,(ADV) - Advertising
Honors Tutorial Course,ADV 379H,3,Upper Division,(ADV) - Advertising
Topics in Advertising Problems,"ADV 179J, 279J, 379J, 479J","1, 2, 3, 4",Upper Division,(ADV) - Advertising
Consumer Behavior,ADV 381,3,Graduate,(ADV) - Advertising
Quantitative and Qualitative Research,ADV 382,3,Graduate,(ADV) - Advertising
Topics in Theories of Persuasive Communication and Consumer Decision Making,ADV 382J,3,Graduate,(ADV) - Advertising
Topics in Supervised Individual Creative Studies,ADV 483,4,Graduate,(ADV) - Advertising
Topics in International Advertising,ADV 385,3,Graduate,(ADV) - Advertising
Experimental Storytelling,ADV 386,3,Graduate,(ADV) - Advertising
Creative Strategies,ADV 387,3,Graduate,(ADV) - Advertising
Research Problems: Doctoral Examination Preparation,ADV 388C,3,Graduate,(ADV) - Advertising
Principles of Advertising Management,ADV 388J,3,Graduate,(ADV) - Advertising
Integrated Communications Management,ADV 388K,3,Graduate,(ADV) - Advertising
Topics in Problems in Specialized Fields of Advertising,"ADV 189, 389, 489","1, 3, 4",Graduate,(ADV) - Advertising
Topics in Seminar in Advertising,ADV 391K,3,Graduate,(ADV) - Advertising
Invisible Global Market,ADV 391L,3,Graduate,(ADV) - Advertising
Topics in Advertising Theory and Research,ADV 392,3,Graduate,(ADV) - Advertising
Advertising Internship,ADV 395,3,Graduate,(ADV) - Advertising
Thesis,ADV 698,6,Graduate,(ADV) - Advertising
Master's Report,ADV 398R,3,Graduate,(ADV) - Advertising
Student Teaching in Advertising,ADV 398T,3,Graduate,(ADV) - Advertising
Dissertation,"ADV 399W, 699W, 999W","3, 6, 9",Graduate,(ADV) - Advertising
Topics in Art Education,"AED 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division,(AED) - Art Education
"Exploring Objects, Spaces, and Meaning",AED 320,3,Upper Division,(AED) - Art Education
Children's Artistic Development,AED 321C,3,Upper Division,(AED) - Art Education
Topics in Art Education,AED 371C,3,Upper Division,(AED) - Art Education
Introduction to Art Education,AED 330,3,Upper Division,(AED) - Art Education
Learners and Instructional Sites,AED 341C,3,Upper Division,(AED) - Art Education
"Art Materials, Techniques, and Processes",AED 351C,3,Upper Division,(AED) - Art Education
Criticism and Conversation about Art,AED 361C,3,Upper Division,(AED) - Art Education
"Art, Resilience, and Trauma",AED 372,3,Upper Division,(AED) - Art Education
"Public Art, Civic Engagement, and Responsive Communities",AED 373,3,Upper Division,(AED) - Art Education
Independent Study,AED 376C,3,Upper Division,(AED) - Art Education
Advanced Topics in Art Education,AED 379S,3,Upper Division,(AED) - Art Education
Foundations of Art Education,AED 381G,3,Graduate,(AED) - Art Education
Contemporary Issues in Art Education,AED 381K,3,Graduate,(AED) - Art Education
Introduction to Research in Art Education,AED 382G,3,Graduate,(AED) - Art Education
Thesis Proposal and Preparation,AED 382H,3,Graduate,(AED) - Art Education
Applied Project in Art Education,AED 382L,3,Graduate,(AED) - Art Education
Museum Education: History and Theory,AED 383J,3,Graduate,(AED) - Art Education
Museum Education: Practice and Application,AED 383K,3,Graduate,(AED) - Art Education
Issues in Museum Studies,AED 383L,3,Graduate,(AED) - Art Education
Special Topics in Art Education,AED 384,3,Graduate,(AED) - Art Education
Independent Study in Art Education,AED 385,3,Graduate,(AED) - Art Education
Internship and Field Study,AED 386,3,Graduate,(AED) - Art Education
Case Studies in Community-Based Art Education,AED 387C,3,Graduate,(AED) - Art Education
Program Development in Community-Based Art Education,AED 387D,3,Graduate,(AED) - Art Education
Art Instruction through Arts-Based Research,AED 388C,3,Graduate,(AED) - Art Education
Art and the Creation of Meaning,AED 388D,3,Graduate,(AED) - Art Education
Art and Critical Discourse,AED 388E,3,Graduate,(AED) - Art Education
Curriculum Development in Art Education,AED 388F,3,Graduate,(AED) - Art Education
Art in Public Places,AED 388G,3,Graduate,(AED) - Art Education
"Objects, Spaces, and Meanings",AED 388H,3,Graduate,(AED) - Art Education
"Art, Resilience, and Trauma",AED 388I,3,Graduate,(AED) - Art Education
Thesis,AED 698,6,Graduate,(AED) - Art Education
Supervised Teaching in Art Education,AED 398T,3,Graduate,(AED) - Art Education
Foundations of Arts and Entertainment Technologies,AET 304,3,Lower Division,(AET) - Arts and Entertainment Technologies
Foundations of Creative Coding,AET 310,3,Lower Division,(AET) - Arts and Entertainment Technologies
Topics in Innovative Design,"AET 110T, 310T","1, 3",Lower Division,(AET) - Arts and Entertainment Technologies
Media and Motion,AET 311,3,Lower Division,(AET) - Arts and Entertainment Technologies
Games and Interactivity,AET 312,3,Lower Division,(AET) - Arts and Entertainment Technologies
Code and Fabrication,AET 313,3,Lower Division,(AET) - Arts and Entertainment Technologies
Sound and Space,AET 314,3,Lower Division,(AET) - Arts and Entertainment Technologies
Topics in Arts and Entertainment Technologies,"AET 119, 219, 319","1, 2, 3",Lower Division,(AET) - Arts and Entertainment Technologies
Topics in Arts and Entertainment Technologies,"AET 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division,(AET) - Arts and Entertainment Technologies
Immersive Audio,AET 320F,3,Upper Division,(AET) - Arts and Entertainment Technologies
Generative Music,AET 320L,3,Upper Division,(AET) - Arts and Entertainment Technologies
Live Music Coding,AET 320M,3,Upper Division,(AET) - Arts and Entertainment Technologies
Sound Design,AET 320P,3,Upper Division,(AET) - Arts and Entertainment Technologies
Audio Processing,AET 321C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Introduction To Game Audio,AET 321J,3,Upper Division,(AET) - Arts and Entertainment Technologies
Advanced Game Audio,AET 321K,3,Upper Division,(AET) - Arts and Entertainment Technologies
Introduction To Audio Coding,AET 322K,3,Upper Division,(AET) - Arts and Entertainment Technologies
Advanced Audio Coding,AET 322L,3,Upper Division,(AET) - Arts and Entertainment Technologies
Interactive Music,AET 323D,3,Upper Division,(AET) - Arts and Entertainment Technologies
Generative Audio Programming,AET 323G,3,Upper Division,(AET) - Arts and Entertainment Technologies
Themed Entertainment Design,AET 324,3,Upper Division,(AET) - Arts and Entertainment Technologies
Principles of Animation,AET 324D,3,Upper Division,(AET) - Arts and Entertainment Technologies
Visual Storytelling,AET 324J,3,Upper Division,(AET) - Arts and Entertainment Technologies
Advanced Production Laboratory,"AET 124P, 224P, 324P","1, 2, 3",Upper Division,(AET) - Arts and Entertainment Technologies
3D Animation and Rigging,AET 326E,3,Upper Division,(AET) - Arts and Entertainment Technologies
Realtime VFX,AET 326G,3,Upper Division,(AET) - Arts and Entertainment Technologies
Digital Fabrication,AET 329J,3,Upper Division,(AET) - Arts and Entertainment Technologies
Business of Entertainment,AET 330C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Topics in Innovative Design,"AET 130T, 330T","1, 3",Upper Division,(AET) - Arts and Entertainment Technologies
Topics in Video Game Development,"AET 133, 333","1, 3",Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Production,AET 333D,3,Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Character Animation,AET 334,3,Upper Division,(AET) - Arts and Entertainment Technologies
Level Design,AET 334C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Art Pipeline,AET 334E,3,Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Scripting I,AET 334F,3,Upper Division,(AET) - Arts and Entertainment Technologies
Multiplayer Video Game Design,AET 334J,3,Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Prototyping,AET 334K,3,Upper Division,(AET) - Arts and Entertainment Technologies
User Interface/User Experience for Video Games,"AET 134L, 334L","1, 3",Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Systems Design,AET 334M,3,Upper Division,(AET) - Arts and Entertainment Technologies
Interactive Storytelling,AET 334N,3,Upper Division,(AET) - Arts and Entertainment Technologies
User Interfaces,AET 334P,3,Upper Division,(AET) - Arts and Entertainment Technologies
Technical Art I,AET 334R,3,Upper Division,(AET) - Arts and Entertainment Technologies
Technical Art II,AET 334S,3,Upper Division,(AET) - Arts and Entertainment Technologies
Realtime Visualization,AET 335D,3,Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Scripting II,AET 335F,3,Upper Division,(AET) - Arts and Entertainment Technologies
Live Video Game Design,"AET 135J, 335J","1, 3",Upper Division,(AET) - Arts and Entertainment Technologies
Virtual Reality for Video Games,AET 335K,3,Upper Division,(AET) - Arts and Entertainment Technologies
2D Animation For Games,AET 335M,3,Upper Division,(AET) - Arts and Entertainment Technologies
Introduction to Mixed Reality,AET 335V,3,Upper Division,(AET) - Arts and Entertainment Technologies
Video Game History and Culture,AET 336C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Writing for Interactive Games,AET 337,3,Upper Division,(AET) - Arts and Entertainment Technologies
Narrative Design,AET 337D,3,Upper Division,(AET) - Arts and Entertainment Technologies
Introduction To Narrative,AET 337N,3,Upper Division,(AET) - Arts and Entertainment Technologies
Advanced Topics in Arts and Entertainment Technologies,"AET 139, 239, 339, 439","1, 2, 3, 4",Upper Division,(AET) - Arts and Entertainment Technologies
Interactive Installation Design,AET 340D,3,Upper Division,(AET) - Arts and Entertainment Technologies
Digital Musicianship,AET 341D,3,Upper Division,(AET) - Arts and Entertainment Technologies
3D Modeling and Texturing,AET 342C,3,Upper Division,(AET) - Arts and Entertainment Technologies
3D Materials And Lighting,AET 342D,3,Upper Division,(AET) - Arts and Entertainment Technologies
3D Previsualization for Live Entertainment,AET 344D,3,Upper Division,(AET) - Arts and Entertainment Technologies
Design Skills: Projection,AET 344F,3,Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Modding,AET 346C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Video Game Design Challenges,AET 346F,3,Upper Division,(AET) - Arts and Entertainment Technologies
Concert and Event Lighting,AET 348,3,Upper Division,(AET) - Arts and Entertainment Technologies
Media Design and Technology,AET 348G,3,Upper Division,(AET) - Arts and Entertainment Technologies
3D Projection Mapping,AET 348K,3,Upper Division,(AET) - Arts and Entertainment Technologies
Advanced System Engineering,AET 348L,3,Upper Division,(AET) - Arts and Entertainment Technologies
Advanced Creative Coding,AET 350C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Audio Production Lab,AET 351C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Do It Yourself Synthesizer Lab,AET 351E,3,Upper Division,(AET) - Arts and Entertainment Technologies
Advanced Topics in Video Game Development,"AET 153, 353","1, 3",Upper Division,(AET) - Arts and Entertainment Technologies
Cross Platform Storytelling,AET 354C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Mobile Game Design,AET 355D,3,Upper Division,(AET) - Arts and Entertainment Technologies
Solo Studio,AET 357,3,Upper Division,(AET) - Arts and Entertainment Technologies
Topics in Collaborative Studio,AET 358,3,Upper Division,(AET) - Arts and Entertainment Technologies
Physical Computing,AET 361C,3,Upper Division,(AET) - Arts and Entertainment Technologies
Research Methods Proseminar,AET 170,1,Upper Division,(AET) - Arts and Entertainment Technologies
Independent Study,AET 374,3,Upper Division,(AET) - Arts and Entertainment Technologies
Portfolio,AET 375,3,Upper Division,(AET) - Arts and Entertainment Technologies
Game Capstone: 2-D,AET 376,3,Upper Division,(AET) - Arts and Entertainment Technologies
Game Capstone: 3-D,AET 377,3,Upper Division,(AET) - Arts and Entertainment Technologies
Honors Senior Thesis,AET 378H,3,Upper Division,(AET) - Arts and Entertainment Technologies
African American Culture,AFR 301,3,Lower Division,(AFR) - African and African Diaspora Studies
Numbering Race,AFR 302M,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to Black Studies,AFR 303,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to the Study of Africa,AFR 304,3,Lower Division,(AFR) - African and African Diaspora Studies
Introductory Topics in African and African Diaspora Studies,AFR 310,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to Modern Africa,AFR 310K,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to Traditional Africa,AFR 310L,3,Lower Division,(AFR) - African and African Diaspora Studies
"Performance, Feminism, and Social Change",AFR 311C,3,Lower Division,(AFR) - African and African Diaspora Studies
Afro-Brazilian Diaspora,AFR 315,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to East Austin Ethnography,AFR 315C,3,Lower Division,(AFR) - African and African Diaspora Studies
Performing Blackness,AFR 315D,3,Lower Division,(AFR) - African and African Diaspora Studies
The Revolution Will Be Dramatized,AFR 315E,3,Lower Division,(AFR) - African and African Diaspora Studies
Toni Morrison and August Wilson,AFR 315F,3,Lower Division,(AFR) - African and African Diaspora Studies
The United States and Africa,AFR 315G,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to African American Women's History,AFR 315I,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to Ancient Egypt,AFR 315J,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to African American History,AFR 315K,3,Lower Division,(AFR) - African and African Diaspora Studies
Anthropology of Race and Ethnicity: An Introduction,AFR 315L,3,Lower Division,(AFR) - African and African Diaspora Studies
Students of Color Leadership Issues,AFR 315M,3,Lower Division,(AFR) - African and African Diaspora Studies
The Black Power Movement,AFR 315N,3,Lower Division,(AFR) - African and African Diaspora Studies
The Politics of Black Identity,AFR 315O,3,Lower Division,(AFR) - African and African Diaspora Studies
Introduction to Black Women's Studies,AFR 315P,3,Lower Division,(AFR) - African and African Diaspora Studies
Black Queer Art Worlds,AFR 315Q,3,Lower Division,(AFR) - African and African Diaspora Studies
"Diaspora: Race, Nation, and Resistance",AFR 315R,3,Lower Division,(AFR) - African and African Diaspora Studies
Liberation in the African Diaspora,AFR 315S,3,Lower Division,(AFR) - African and African Diaspora Studies
African American Literature and Culture,AFR 315T,3,Lower Division,(AFR) - African and African Diaspora Studies
Music of African Americans,AFR 315U,3,Lower Division,(AFR) - African and African Diaspora Studies
African Diaspora Archaeology,AFR 315V,3,Lower Division,(AFR) - African and African Diaspora Studies
